Arrondissement;Population;Salaire net horaire moyen;Distance de Paris;Superficie
1;16395;31.07;1.5;1.83
2;21042;29.92;1;0.99
3;34389;31.66;0.9;1.17
4;28370;30.28;0.5;1.6
5;59631;31.40;1.46;2.54
6;41976;40.37;1.5;2.15
7;52193;46.23;2.86;4.09
8;37368;41.69;3.04;3.88
9;60071;32.53;2.69;2.18
10;90836;24.66;2.51;2.89
11;147470;24.29;2.12;3.67
12;141287;23.19;6.21;16.32
13;183399;20.70;2.91;7.15
14;136941;23.93;3.41;5.64
15;235178;27.47;4.65;8.48
16;168554;42.23;7.59;7.85
17;168737;30.83;4.62;5.67
18;196131;21.59;3.89;6.01
19;188066;18.57;5.1;6.79
20;196739;19.43;4.01;5.98
