Ville;Population;Salaire net horaire moyen;Distance de Paris;Superficie
Antony;63319;24.64;12.44;9.56
Asnieres sur Seine;68987;23.99;7.32;4.82
Aubervilliers;86597;12.38;6.57;5.76
Bagnolet;35797;15.55;5.86;2.57
Bobigny;53814;12.17;8.85;6.77
Boissy-Saint-Léger;16426;15.19;16.96;8.94
Boulogne Billancourt;145159;30.48;7.93;6.17
Bourg la Reine;21009;26.15;8.88;1.87
Bry-sur-Marne;16805;23.11;13.42;3.35
Bures sur Yvette;9997;24.84;22.92;4.17
Bussy-Saint-Georges;27714;19.78;27.26;13.39
Cachan;52570;19.76;7.48;2.74
Champs-sur-Marne;25195;16.32;18.41;7.35
Charenton;30568;23.14;6.16;1.85
Chatillon;37696;22.89;7.44;2.92
Chatou;30754;28.72;17;5.08
Clichy;61070;20.54;5.62;5.08
Créteil;91120;15.93;11.6;11.43
Fontenay aux roses;24809;21.22;8.72;2.51
Fontenay-sous-Bois;53418;21.35;9.66;5.58
Gentilly;18707;18.83;5.25;1.18
Gif sur Yvette;21994;28.06;24.49;11.6
Issy Les Moulineaux;69277;27.10;6.98;4.25
Ivry;62052;16.09;6.04;6.1
Joinville-le-Pont;19282;22.09;10.24;2.31
Kremlin-Bicêtre;25468;18.21;5.58;1.54
La Courneuve;43203;11.62;9.41;7.52
Le Vésinet;16474;44.28;16.01;5
Les Lilas;23168;19.49;6.15;1.26
Levallois-Perret;64922;29.69;5.78;2.41
Lognes;14063;16.09;21.16;3.37
Maisons-Alfort;55988;20.14;9.01;5.35
Malakoff;30932;20.35;5.62;2.07
Massy;51142;18.40;15.47;9.43
Montévrain;11669;18.14;29.68;5.44
Montreuil;110474;17.40;7.74;8.92
Montrouge;50481;23.36;5.15;2.07
Nanterre;95739;19.17;10.59;12.19
Neuilly-sur-Seine;61296;45.67;6.21;3.73
Nogent-sur-Marne;33078;25.82;10.48;2.8
Noisiel;15333;15.62;20.29;4.36
Noisy-le-Grand;68515;17.21;16.38;12.95
Orsay;16753;24.59;20.91;7.97
Palaiseau;35881;20.32;17.36;11.51
Pantin;57668;15.94;6.47;5.01
Puteaux;44905;26.05;8.19;3.19
Rueil-Malmaison;79745;29.24;12.21;14.7
Saint Denis;111948;13.85;8.22;12.36
Saint Ouen;51268;17.46;5.78;4.31
Saint-Germain-en-Laye;46570;32.44;19.41;51.94
Saint Mandé;22835;28.10;5.81;0.92
Saint-Maur des Fossés;75759;24.75;13;11.25
Sceaux;19712;31.25;9.78;3.6
Serris;9127;17.68;32.19;5.6
St-Rémy-Lès-Chevreuse;8018;27.33;26.23;9.65
Sucy-en-Brie;26709;20.16;16.79;10.43
Torcy;22693;15.62;22.55;6
Villejuif;55047;16.74;7.55;5.34
Vincennes;50267;26.61;7.02;1.91
Asnières;68987;23.99;7.32;4.82
Saint Denis / Aubervilliers;111948;13.85;8.22;12.36
Arcueil;21632;18.62;5.87;2.33
